Index,Date,Ticker,Prev. Price,Curr. Price,Prev. MA,Curr. MA,Prev. Position,Curr. Position
0,2022-05-04,ASB.WA,12.41,13.39,12.4568,12.4568,below,above
1,2022-05-04,BFT.WA,602.0,590.0,590.1,590.1,above,below
2,2022-05-04,DAT.WA,173.7,176.2,173.9848,173.9848,below,above
3,2022-05-04,FMF.WA,2.8,2.766,2.78808,2.78808,above,below
4,2022-05-04,PEP.WA,68.8,66.5,67.672,67.672,above,below
5,2022-05-04,ABS.WA,41.8,41.3,41.56,41.56,above,below
6,2022-05-04,APR.WA,14.4,14.86,14.6844,14.6844,below,above
7,2022-05-04,MLS.WA,67.6,70.75,68.53,68.53,below,above
8,2022-05-04,PCF.WA,58.5,56.4,57.4692,57.4692,above,below
9,2022-05-04,VRG.WA,3.75,3.67,3.7239,3.7239,above,below
10,2022-05-04,WWL.WA,465.0,473.0,472.66,472.66,below,above
11,2022-05-04,ZEP.WA,16.8,16.16,16.7088,16.7088,above,below
12,2022-05-08,JSW.WA,69.6,66.42,66.4794,67.8376,above,below
13,2022-05-08,DAT.WA,176.2,172.68,173.9848,174.454,above,below
14,2022-05-08,EUR.WA,12.46,11.59,11.7306,11.8319,above,below
15,2022-05-08,HUG.WA,17.97,18.44,18.27624,18.17036,below,above
16,2022-05-08,1AT.WA,41.5,40.0,40.706,40.576,above,below
17,2022-05-08,APR.WA,14.86,14.0,14.6844,14.6218,above,below
18,2022-05-08,BOS.WA,8.66,8.36,8.4394,8.4514,above,below
19,2022-05-08,CAV.WA,20.7,21.9,21.31182,21.16442,below,above
20,2022-05-08,CMP.WA,48.9,46.5,48.098,48.094,above,below
21,2022-05-08,GRN.WA,18.42,16.6,17.4948,17.5636,above,below
22,2022-05-08,STP.WA,337.5,309.0,333.91,336.24,above,below
23,2022-05-08,TIM.WA,35.7,32.8,34.897,34.822,above,below
24,2022-05-08,WWL.WA,473.0,460.0,472.66,473.3,above,below
25,2022-05-09,BFT.WA,552.0,588.0,586.44,586.44,below,above
26,2022-05-09,KTY.WA,605.0,580.0,604.6,604.6,above,below
27,2022-05-09,XTB.WA,18.8,17.85,18.7342,18.7342,above,below
28,2022-05-09,AML.WA,69.8,68.4,69.404,69.404,above,below
29,2022-05-09,BOS.WA,8.36,8.67,8.4514,8.4514,below,above
30,2022-05-09,CAV.WA,21.9,20.6,21.16442,21.16442,above,below
31,2022-05-09,DCR.WA,34.7,33.5,34.576,34.576,above,below
32,2022-05-09,INK.WA,35.5,33.4,35.11,35.11,above,below
33,2022-05-09,MLS.WA,70.45,67.95,68.824,68.824,above,below
34,2022-05-09,PHN.WA,13.85,13.05,13.405,13.405,above,below
35,2022-05-09,SKA.WA,77.2,78.4,77.864,77.864,below,above
36,2022-05-10,PGE.WA,9.29,9.17,9.1928,9.23432,above,below
37,2022-05-10,ATT.WA,41.0,39.46,39.3764,39.536,above,below
38,2022-05-10,ABE.WA,46.05,46.05,46.073,46.046,below,above
39,2022-05-10,BMC.WA,27.6,25.46,26.7772,26.9712,above,below
40,2022-05-11,ENA.WA,9.235,8.845,9.0546,9.0942,above,below
41,2022-05-11,ATT.WA,39.46,41.36,39.536,39.7372,below,above
42,2022-05-11,ABE.WA,46.05,46.0,46.046,46.107,above,below
43,2022-05-11,ATG.WA,3.86,4.12,4.0264,4.0346,below,above
44,2022-05-11,BOS.WA,8.67,8.4,8.4628,8.4936,above,below
45,2022-05-11,BMC.WA,25.46,27.98,26.9712,27.1874,below,above
46,2022-05-11,COG.WA,5.82,5.41,5.79,5.8261,above,below
47,2022-05-11,GRN.WA,16.36,18.0,17.562,17.608,below,above
48,2022-05-11,MFO.WA,46.9,42.0,46.122,46.122,above,below
49,2022-05-11,VRG.WA,3.53,3.7,3.6915,3.6916,below,above
50,2022-05-11,WWL.WA,467.0,480.0,473.28,473.86,below,above
51,2022-05-12,BFT.WA,598.0,562.0,586.64,587.22,above,below
52,2022-05-12,HUG.WA,18.29,17.15,18.15936,18.1388,above,below
53,2022-05-12,MRC.WA,72.8,69.48,71.7884,72.0804,above,below
54,2022-05-12,ATG.WA,4.12,3.95,4.0346,4.0366,above,below
55,2022-05-12,LWB.WA,54.0,52.75,52.618,53.118,above,below
56,2022-05-12,CIG.WA,1.53,1.756,1.53704,1.53936,below,above
57,2022-05-12,GRN.WA,18.0,17.1,17.608,17.658,above,below
58,2022-05-12,RFK.WA,1.7,1.6,1.62832,1.62988,above,below
59,2022-05-12,SKA.WA,78.2,75.4,78.112,78.184,above,below
60,2022-05-12,WWL.WA,480.0,471.0,473.86,474.22,above,below
61,2022-05-13,PGE.WA,8.71,9.482,9.32104,9.33208,below,above
62,2022-05-13,DAT.WA,160.06,177.7,175.59,175.6312,below,above
63,2022-05-13,ENA.WA,8.675,9.145,9.1172,9.1151,below,above
64,2022-05-13,XTB.WA,18.45,19.29,18.9538,19.006,below,above
65,2022-05-13,ABE.WA,46.15,46.9,46.157,46.2,below,above
66,2022-05-13,LWB.WA,52.75,54.0,53.118,53.443,below,above
67,2022-05-13,GRN.WA,17.1,17.96,17.658,17.69,below,above
68,2022-05-13,RFK.WA,1.6,1.694,1.62988,1.62744,below,above
69,2022-05-13,VRG.WA,3.69,3.68,3.6882,3.6861,above,below
70,2022-05-13,WWL.WA,471.0,479.0,474.22,474.24,below,above
