,Ticker,Price,MA,Position
0,ALE.WA,23.0,28.4965,below
1,ACP.WA,76.8,77.214,below
2,CCC.WA,47.59,54.4892,below
3,CDR.WA,120.68,154.9984,below
4,CPS.WA,22.28,26.6788,below
5,DNP.WA,301.7,308.626,below
6,JSW.WA,68.0,69.4836,below
7,KGH.WA,119.2,162.106,below
8,LTS.WA,68.44,62.8876,above
9,LPP.WA,9850.0,10023.4,below
10,MBK.WA,273.0,331.796,below
11,OPL.WA,6.322,7.48284,below
12,PEO.WA,88.46,104.8216,below
13,PCO.WA,40.76,43.2855,below
14,PGE.WA,9.482,9.33208,above
15,PGN.WA,5.89,6.46724,below
16,PKN.WA,73.5,76.1892,below
17,PKO.WA,30.45,36.7252,below
18,PZU.WA,29.94,32.3112,below
19,SPL.WA,244.0,283.054,below
20,11B.WA,497.5,536.71,below
21,ALR.WA,30.91,41.2418,below
22,EAT.WA,17.56,19.0354,below
23,ASB.WA,12.6,12.282,above
24,ASE.WA,47.8,49.002,below
25,BFT.WA,564.0,587.0,below
26,BML.WA,3.167,3.39412,below
27,BDX.WA,214.5,215.75,below
28,CIE.WA,40.12,40.8488,below
29,CLN.WA,20.45,24.478,below
30,CMR.WA,172.0,177.604,below
31,DAT.WA,177.7,175.6312,above
32,DVL.WA,3.3,3.2351,above
33,DOM.WA,86.8,95.862,below
34,ENA.WA,9.145,9.1151,above
35,EUR.WA,11.0,11.9592,below
36,FMF.WA,2.66,2.80734,below
37,GPW.WA,37.88,39.4408,below
38,ATT.WA,43.44,40.108,above
39,BHW.WA,59.0,59.618,below
40,HUG.WA,17.85,18.0818,below
41,ING.WA,195.0,224.388,below
42,CAR.WA,419.0,421.51,below
43,KER.WA,23.88,28.4946,below
44,KTY.WA,589.0,605.58,below
45,KRU.WA,243.6,277.34,below
46,LVC.WA,93.1,95.184,below
47,MAB.WA,28.28,29.847,below
48,MRC.WA,70.84,72.13,below
49,MIL.WA,4.51,5.90452,below
50,MBR.WA,306.0,380.16,below
51,NEU.WA,779.0,779.84,below
52,PEP.WA,66.2,67.938,below
53,PKP.WA,11.49,12.0374,below
54,PLW.WA,261.0,300.594,below
55,SLV.WA,77.1,72.66,above
56,TPE.WA,3.28,2.9545,above
57,TEN.WA,155.3,186.804,below
58,WPL.WA,100.0,108.594,below
59,XTB.WA,19.29,19.006,above
60,ABE.WA,46.9,46.2,above
61,ACG.WA,28.1,29.548,below
62,ACT.WA,11.18,12.143,below
63,AGO.WA,5.87,6.5886,below
64,AML.WA,68.4,69.964,below
65,AMB.WA,19.72,21.8592,below
66,AMC.WA,88.0,95.576,below
67,ANR.WA,23.0,24.949,below
68,APT.WA,15.7,18.29,below
69,ATC.WA,12.46,10.2804,above
70,ABS.WA,40.0,41.684,below
71,AST.WA,21.2,23.465,below
72,1AT.WA,38.8,40.366,below
73,ATG.WA,3.88,4.0356,below
74,APR.WA,14.1,14.6042,below
75,BIO.WA,4.03,4.17,below
76,BNP.WA,62.2,70.612,below
77,LWB.WA,54.0,53.443,above
78,BRS.WA,5.5,3.7673,above
79,BOS.WA,8.2,8.5268,below
80,BOW.WA,12.3,10.4692,above
81,BMC.WA,29.92,27.48,above
82,CTX.WA,142.0,160.0304,below
83,CAV.WA,20.7,21.12442,below
84,CIG.WA,1.75,1.5452,above
85,CLE.WA,1.24,1.41792,below
86,COG.WA,5.85,5.8672,below
87,CMP.WA,46.0,48.152,below
88,CRJ.WA,596.0,697.46,below
89,DCR.WA,33.4,34.516,below
90,ECH.WA,3.29,3.5074,below
91,ENT.WA,26.0,28.882,below
92,ERB.WA,31.5,38.966,below
93,FRO.WA,28.0,29.896,below
94,FTE.WA,32.9,38.484,below
95,GTN.WA,1.01,1.03662,below
96,GNB.WA,0.2058,0.320132,below
97,GRN.WA,17.96,17.69,above
98,IMC.WA,16.45,18.216,below
99,INK.WA,33.3,35.274,below
100,KGN.WA,25.6,26.094,below
101,MCI.WA,17.55,18.894,below
102,MFO.WA,42.4,46.1,below
103,MRB.WA,3.45,3.5338,below
104,MLS.WA,62.2,69.531,below
105,MOC.WA,25.0,28.7,below
106,NWG.WA,19.25,20.557,below
107,OND.WA,12.0,17.1838,below
108,OPN.WA,43.5,48.054,below
109,PCR.WA,88.0,92.104,below
110,PCF.WA,46.9,56.6102,below
111,PBX.WA,13.9,15.693,below
112,PHN.WA,13.4,13.478,below
113,PEN.WA,9.48,8.53634,above
114,PCE.WA,11.3,11.856,below
115,PXM.WA,3.362,3.62212,below
116,R22.WA,37.4,43.089,below
117,RFK.WA,1.694,1.62744,above
118,RBW.WA,21.6,22.829,below
119,RWL.WA,15.1,16.246,below
120,RVU.WA,31.35,43.75,below
121,SNK.WA,11.9,13.0352,below
122,SEN.WA,0.79,0.890288,below
123,SHO.WA,33.15,50.3404,below
124,SKA.WA,77.2,78.192,below
125,STX.WA,2.95,3.3065,below
126,STP.WA,310.0,338.81,below
127,SNT.WA,27.0,27.834,below
128,TIM.WA,32.8,34.815,below
129,TOR.WA,15.48,14.2932,above
130,TOA.WA,5.94,6.4036,below
131,TRK.WA,1.592,1.67936,below
132,UNT.WA,45.85,43.493,above
133,VRC.WA,39.0,42.5188,below
134,VGO.WA,626.0,684.6,below
135,VOX.WA,38.9,40.042,below
136,VRG.WA,3.68,3.6861,below
137,WWL.WA,479.0,474.24,above
138,WLT.WA,6.73,7.4064,below
139,ZEP.WA,14.68,16.8744,below
